user_id,product_id,event,timestamp
U001,P03,purchase,2026-01-08T22:22:00+00:00
U001,P27,click,2026-01-09T10:34:00+00:00
U001,P04,click,2026-01-09T17:48:00+00:00
U001,P01,click,2026-01-10T16:45:00+00:00
U001,P25,purchase,2026-01-11T01:56:00+00:00
U001,P02,click,2026-01-12T01:20:00+00:00
U001,P26,purchase,2026-01-12T23:32:00+00:00
U001,P31,click,2026-01-13T02:03:00+00:00
U001,P06,click,2026-01-13T22:55:00+00:00
U002,P15,click,2026-01-26T04:44:00+00:00
U002,P11,click,2026-01-27T04:02:00+00:00
U002,P09,click,2026-01-27T08:01:00+00:00
U002,P30,click,2026-01-28T07:22:00+00:00
U002,P16,click,2026-01-29T01:46:00+00:00
U002,P10,click,2026-01-29T10:57:00+00:00
U002,P14,click,2026-01-30T08:54:00+00:00
U002,P36,click,2026-01-30T20:35:00+00:00
U002,P13,click,2026-01-31T00:28:00+00:00
U003,P06,click,2026-01-11T12:29:00+00:00
U003,P18,click,2026-01-11T17:04:00+00:00
U003,P17,purchase,2026-01-12T12:38:00+00:00
U003,P20,click,2026-01-13T08:23:00+00:00
U003,P28,click,2026-01-14T00:36:00+00:00
U003,P34,click,2026-01-14T08:58:00+00:00
U003,P11,click,2026-01-15T01:11:00+00:00
U003,P24,purchase,2026-01-15T15:09:00+00:00
U003,P22,click,2026-01-15T21:43:00+00:00
U003,P33,click,2026-01-16T01:01:00+00:00
U003,P19,click,2026-01-16T04:24:00+00:00
U003,P21,click,2026-01-17T02:58:00+00:00
U003,P13,click,2026-01-17T17:45:00+00:00
U004,P30,click,2026-01-02T01:53:00+00:00
U004,P04,click,2026-01-02T23:10:00+00:00
U004,P16,click,2026-01-03T18:28:00+00:00
U004,P24,purchase,2026-01-03T21:57:00+00:00
U004,P20,click,2026-01-04T00:32:00+00:00
U004,P23,click,2026-01-04T18:58:00+00:00
U004,P07,click,2026-01-05T02:19:00+00:00
U004,P17,click,2026-01-05T19:40:00+00:00
U004,P18,click,2026-01-06T04:48:00+00:00
U004,P22,click,2026-01-06T09:24:00+00:00
U004,P36,click,2026-01-06T21:23:00+00:00
U004,P05,click,2026-01-06T23:48:00+00:00
U004,P19,click,2026-01-07T08:13:00+00:00
U005,P22,purchase,2026-01-13T08:56:00+00:00
U005,P17,purchase,2026-01-13T12:42:00+00:00
U005,P10,click,2026-01-14T01:50:00+00:00
U005,P38,click,2026-01-14T03:14:00+00:00
U005,P24,click,2026-01-14T19:22:00+00:00
U005,P34,purchase,2026-01-15T03:02:00+00:00
U005,P20,click,2026-01-15T09:55:00+00:00
U005,P21,click,2026-01-16T01:42:00+00:00
U005,P19,click,2026-01-16T13:43:00+00:00
U005,P27,click,2026-01-17T00:13:00+00:00
U005,P18,click,2026-01-17T08:04:00+00:00
U005,P07,click,2026-01-17T15:45:00+00:00
U005,P14,click,2026-01-17T16:38:00+00:00
U006,P18,click,2026-01-26T09:58:00+00:00
U006,P40,click,2026-01-26T16:35:00+00:00
U006,P35,click,2026-01-27T07:01:00+00:00
U006,P15,purchase,2026-01-28T05:47:00+00:00
U006,P13,purchase,2026-01-28T18:48:00+00:00
U006,P17,purchase,2026-01-29T18:00:00+00:00
U006,P08,click,2026-01-30T00:01:00+00:00
U006,P10,click,2026-01-30T21:06:00+00:00
U006,P21,click,2026-01-31T16:36:00+00:00
U006,P14,click,2026-02-01T02:57:00+00:00
U007,P27,click,2026-01-11T05:06:00+00:00
U007,P32,click,2026-01-12T04:56:00+00:00
U007,P10,purchase,2026-01-12T22:41:00+00:00
U007,P28,click,2026-01-13T14:37:00+00:00
U007,P25,click,2026-01-13T16:24:00+00:00
U007,P30,click,2026-01-14T11:30:00+00:00
U008,P12,click,2026-01-16T07:43:00+00:00
U008,P31,click,2026-01-16T10:33:00+00:00
U008,P33,click,2026-01-16T15:21:00+00:00
U008,P39,click,2026-01-16T20:34:00+00:00
U008,P29,click,2026-01-17T04:32:00+00:00
U008,P18,click,2026-01-17T17:41:00+00:00
U008,P16,click,2026-01-18T17:27:00+00:00
U009,P20,click,2026-01-19T04:17:00+00:00
U009,P14,click,2026-01-20T03:11:00+00:00
U009,P27,click,2026-01-21T02:26:00+00:00
U009,P39,click,2026-01-21T16:19:00+00:00
U009,P09,click,2026-01-21T22:02:00+00:00
U009,P12,click,2026-01-22T14:04:00+00:00
U009,P25,click,2026-01-22T18:30:00+00:00
U010,P27,click,2026-01-30T13:59:00+00:00
U010,P38,purchase,2026-01-30T19:17:00+00:00
U010,P37,click,2026-01-31T10:13:00+00:00
U010,P34,click,2026-01-31T16:18:00+00:00
U010,P13,click,2026-02-01T10:11:00+00:00
U010,P39,click,2026-02-02T08:28:00+00:00
U010,P33,purchase,2026-02-02T17:46:00+00:00
U010,P23,click,2026-02-03T14:52:00+00:00
U010,P36,purchase,2026-02-04T09:19:00+00:00
U010,P40,purchase,2026-02-05T01:54:00+00:00
U010,P04,click,2026-02-05T17:51:00+00:00
U010,P11,click,2026-02-06T08:48:00+00:00
U011,P06,click,2026-01-21T03:37:00+00:00
U011,P33,purchase,2026-01-21T14:59:00+00:00
U011,P32,click,2026-01-22T03:04:00+00:00
U011,P37,click,2026-01-22T18:38:00+00:00
U011,P38,purchase,2026-01-23T03:57:00+00:00
U011,P40,click,2026-01-23T14:29:00+00:00
U011,P18,click,2026-01-23T23:08:00+00:00
U011,P36,purchase,2026-01-24T07:05:00+00:00
U011,P12,click,2026-01-24T11:17:00+00:00
U012,P16,purchase,2026-01-30T14:13:00+00:00
U012,P18,click,2026-01-30T17:24:00+00:00
U012,P39,click,2026-01-31T09:31:00+00:00
U012,P12,purchase,2026-01-31T21:28:00+00:00
U012,P10,click,2026-02-01T11:29:00+00:00
U012,P30,click,2026-02-01T22:56:00+00:00
U012,P37,click,2026-02-02T09:58:00+00:00
U012,P33,click,2026-02-03T08:55:00+00:00
U012,P28,click,2026-02-03T12:34:00+00:00
U012,P09,click,2026-02-03T18:08:00+00:00
U012,P21,click,2026-02-04T05:28:00+00:00
U012,P38,click,2026-02-04T19:36:00+00:00
U012,P15,click,2026-02-05T19:21:00+00:00
U012,P14,click,2026-02-06T12:20:00+00:00
U012,P13,click,2026-02-06T22:15:00+00:00
U012,P34,click,2026-02-07T20:56:00+00:00
U012,P11,purchase,2026-02-08T10:41:00+00:00
U013,P36,click,2026-01-26T04:52:00+00:00
U013,P33,click,2026-01-26T16:43:00+00:00
U013,P22,click,2026-01-27T04:08:00+00:00
U013,P40,click,2026-01-27T23:03:00+00:00
U013,P35,click,2026-01-28T17:40:00+00:00
